rank_primary_rank_replace,stock_id,pred_score_primary_rank_replace,rank_lgbm_rank_replace,pred_score_lgbm_rank_replace,stock_prefix,model_count,top5_vote_count,top20_vote_count,top5_borda,top20_borda,avg_rank_fill,min_rank_fill,ensemble_score,ensemble_rank_before_stage2,recent_return_5,recent_return_10,recent_return_20,volatility_20,max_drawdown_20,overheat_return,volatility_20_rank,overheat_rank,drawdown_rank,risk_score,selection_strategy,stage2_pool_member,stage2_selection_rank,gate_primary_source,gate_overheat_threshold,gate_primary_top5_overheat_mean,gate_use_defense,gate_defense_strategy,selected,weight,rank,pred_score
21,603986,0.84612995,9,0.0498840581699423,603,2,0,1,0,12,15.0,9,1185.0,17,0.004001850566736298,-0.21200072621641242,-0.48329761904761903,0.06018242426483568,0.4695705521472393,0.004001850566736298,0.9433333333333334,0.14,0.99,0.6738333333333333,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,17,-9998.998815
9,002463,1.0342922,50,0.0177549875667225,002,2,0,1,0,12,29.5,9,1170.5,18,0.021561467570857085,-0.057436226536178414,-0.16702112576208705,0.060083728451103394,0.26557591623036647,0.021561467570857085,0.94,0.24333333333333335,0.8533333333333334,0.6745,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,18,-9998.9988295
10,002384,1.0047125,298,-0.0079011403220813,002,2,0,1,0,11,154.0,10,946.0,19,-0.026776282551784325,-0.10477397549640888,-0.15100765255018234,0.06645710307307029,0.2590029761904762,-0.026776282551784325,0.9733333333333334,0.056666666666666664,0.85,0.6216666666666667,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,19,-9998.999054
43,300394,0.6907121,11,0.0441446404847624,300,2,0,1,0,10,27.0,11,973.0,20,-0.020370890699634714,-0.19328217191778185,-0.29124174148737925,0.06107264935589677,0.3279701334742964,-0.020370890699634714,0.95,0.06333333333333334,0.92,0.6321666666666667,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,20,-9998.999027
11,600176,1.0001147,285,-0.0036642574522109,600,2,0,1,0,10,148.0,11,852.0,21,0.04132860040567943,-0.18073010173548776,-0.4213863060016906,0.06870634375963162,0.4876509330406147,0.04132860040567943,0.98,0.42333333333333334,1.0,0.7901666666666667,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,21,-9998.999148
161,688256,0.07552145,12,0.0429928918061798,688,2,0,1,0,9,86.5,12,813.5,22,0.026484698097601234,-0.10717985611510805,-0.1626045883940621,0.055468466677186155,0.2538121650841403,0.026484698097601234,0.8966666666666666,0.29333333333333333,0.8433333333333334,0.6721666666666667,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,22,-9998.9991865
12,603296,0.9966615,297,-0.0076261965959134,603,2,0,1,0,9,154.5,12,745.5,23,0.18627183406113534,0.0977396135875741,0.2703492620195822,0.05080511864501709,0.13333333333333341,0.18627183406113534,0.8566666666666667,0.98,0.6733333333333333,0.854,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,23,-9998.9992545
39,688072,0.73209,14,0.0375814414946493,688,2,0,1,0,7,26.5,14,673.5,24,0.24307354210815468,-0.0628402366863906,-0.04819711538461546,0.061017322114765446,0.2505382289620123,0.24307354210815468,0.9466666666666667,0.9933333333333333,0.8333333333333334,0.9346666666666666,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,24,-9998.9993265
15,301269,0.93887436,22,0.030520880088931,301,2,0,1,0,6,18.5,15,581.5,25,-0.016005121638924535,-0.2304097471417842,-0.19289340101522845,0.059660329518168326,0.258974151203306,-0.016005121638924535,0.9366666666666666,0.07333333333333333,0.8466666666666667,0.6120000000000001,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,25,-9998.9994185
122,300476,0.22231376,15,0.0371074792679646,300,2,0,1,0,6,68.5,15,531.5,26,0.06492347507920226,-0.12581956704882602,-0.24323810127786405,0.05607807981719925,0.3530872037641082,0.06492347507920226,0.9066666666666666,0.67,0.9333333333333333,0.8305,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,26,-9998.9994685
51,002709,0.62455827,16,0.037077532757027,002,2,0,1,0,5,33.5,16,466.5,27,0.1460640526788386,0.02957784350631898,-0.24788843056373988,0.05095141230710672,0.3907731582786287,0.1460640526788386,0.86,0.94,0.96,0.913,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,27,-9998.9995335
16,000977,0.9255637,286,-0.0038681898923577,000,2,0,1,0,5,151.0,16,349.0,28,0.0456390699963094,-0.005731664522166335,0.29140079003342434,0.05300985341370296,0.13538873994638068,0.0456390699963094,0.8833333333333333,0.46,0.68,0.6843333333333333,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,28,-9998.999651
100,300316,0.30331674,17,0.0353767422504219,300,2,0,1,0,4,58.5,17,341.5,29,0.09810387469084914,-0.06939916162086623,-0.2889679715302491,0.05043984681308242,0.39861179970252847,0.09810387469084914,0.8533333333333334,0.83,0.9633333333333334,0.8726666666666667,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,29,-9998.9996585
18,600522,0.8811757,28,0.0248003552853242,600,2,0,1,0,3,23.0,18,277.0,30,0.01365611421477353,-0.20475840995445826,-0.4415468643663871,0.052498587261358955,0.4795380781958375,0.01365611421477353,0.88,0.18333333333333332,0.9966666666666667,0.6653333333333333,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,30,-9998.999723
189,688047,-0.05641919,18,0.0346423100607486,688,2,0,1,0,3,103.5,18,196.5,31,-0.045570063973359054,-0.21364620938628165,-0.25861130020422063,0.040377969622954486,0.3087217947889054,-0.045570063973359054,0.7433333333333333,0.023333333333333334,0.9,0.5305,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,31,-9998.9998035
23,600549,0.8383319,19,0.0323201509554703,600,2,0,1,0,2,21.0,19,179.0,32,0.06468716861081636,-0.15116672303009815,-0.4013832578106369,0.04669750351199721,0.4465962441314554,0.06468716861081636,0.82,0.6633333333333333,0.98,0.8051666666666667,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,32,-9998.999821
19,603019,0.8784899,55,0.0156991732569716,603,2,0,1,0,2,37.0,19,163.0,33,0.06260984182776808,-0.08847639687176101,-0.007591300779647092,0.05185110796249133,0.18241860465116289,0.06260984182776808,0.87,0.6466666666666666,0.7666666666666667,0.766,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,33,-9998.999837
20,688981,0.8514567,59,0.0140793885944049,688,2,0,1,0,1,39.5,20,60.5,34,-0.0015972222222221388,-0.12110282430614994,-0.047880794701986695,0.05665874773875605,0.19144508670520233,-0.0015972222222221388,0.91,0.11,0.7833333333333333,0.5983333333333334,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,34,-9998.9999395
182,600118,-0.02626827,20,0.0317724842739355,600,2,0,1,0,1,101.0,20,-1.0,35,0.0038631138729212644,-0.345717970489137,-0.26302421608045723,0.05749895504216056,0.3667602066141096,0.0038631138729212644,0.9233333333333333,0.13666666666666666,0.9466666666666667,0.6538333333333334,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,35,-9999.000001
44,002049,0.6867421,23,0.0269571841080464,002,2,0,0,0,0,33.5,23,-33.5,36,0.06847984458474987,-0.19256178125764623,-0.22389473781223246,0.038500435600884876,0.30400000000000005,0.06847984458474987,0.7266666666666667,0.68,0.8966666666666666,0.7528333333333332,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,36,-9999.0000335
31,688012,0.78033334,42,0.0207421325727367,688,2,0,0,0,0,36.5,31,-36.5,37,0.16721167883211674,-0.021610376896720518,-0.12463596750531003,0.0678462997531408,0.2737335397273055,0.16721167883211674,0.9766666666666667,0.9666666666666667,0.8666666666666667,0.9456666666666668,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,37,-9999.0000365
40,002558,0.7252741,34,0.0233717642872499,002,2,0,0,0,0,37.0,34,-37.0,38,-0.1754503002001334,-0.1320224719101124,-0.09217774513404342,0.046688046915549994,0.20145310435931307,-0.1320224719101124,0.8166666666666667,0.0033333333333333335,0.7966666666666666,0.5269999999999999,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,38,-9999.000037
25,600160,0.82192314,52,0.0161931107050688,600,2,0,0,0,0,38.5,25,-38.5,39,0.05963060686015842,-0.04289799809342232,-0.2535315985130111,0.04049262845199506,0.32139659803043874,0.05963060686015842,0.7466666666666667,0.61,0.9166666666666666,0.7413333333333333,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,39,-9999.0000385
38,000938,0.736522,40,0.0210909602290246,000,2,0,0,0,0,39.0,38,-39.0,40,0.10029185460334311,0.07994791666666679,0.5804115853658538,0.061986927310902884,0.08966053381705108,0.10029185460334311,0.9533333333333334,0.8366666666666667,0.5733333333333334,0.8175,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,40,-9999.000039
56,688041,0.5759554,39,0.0211879181561743,688,2,0,0,0,0,47.5,39,-47.5,41,-0.020398600524803134,-0.09104347826086956,-0.11624957727426444,0.043387466942383435,0.17666756683769913,-0.020398600524803134,0.7766666666666666,0.06,0.7433333333333333,0.5175,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,41,-9999.0000475
46,000063,0.6744892,51,0.016462477876085,000,2,0,0,0,0,48.5,46,-48.5,42,0.04506374147643055,-0.11963036963036955,0.0014204545454545858,0.04507277773204774,0.16777695534172232,0.04506374147643055,0.79,0.45,0.73,0.656,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,42,-9999.0000485
65,601689,0.5165748,33,0.0244607153582558,601,2,0,0,0,0,49.0,33,-49.0,43,-0.044105523495465704,-0.14031510658016677,-0.11404011461318053,0.04739158757618578,0.26926157296171715,-0.044105523495465704,0.83,0.02666666666666667,0.86,0.5563333333333333,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,43,-9999.000049
35,300803,0.7458876,64,0.0113144227762608,300,2,0,0,0,0,49.5,35,-49.5,44,-0.08967096540918396,-0.03537675606641122,-0.16972628339012852,0.03700418515425634,0.2329392242273387,-0.03537675606641122,0.6966666666666667,0.04,0.8233333333333334,0.49850000000000005,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,44,-9999.0000495
58,300442,0.5586371,41,0.0209120474528809,300,2,0,0,0,0,49.5,41,-49.5,45,-0.00480480480480483,-0.14477419354838705,-0.12759739984523544,0.04569749976399267,0.28324040451236066,-0.00480480480480483,0.8033333333333333,0.09666666666666666,0.88,0.5751666666666667,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,45,-9999.0000495
29,300433,0.8144366,71,0.0104960241043166,300,2,0,0,0,0,50.0,29,-50.0,46,0.07042665108123902,-0.07336200354161393,-0.2871469826670182,0.05440155476856703,0.35675914689807464,0.07042665108123902,0.8933333333333333,0.6966666666666667,0.9366666666666666,0.8353333333333333,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,46,-9999.00005
74,002422,0.45469344,31,0.0245111426157911,002,2,0,0,0,0,52.5,31,-52.5,47,-0.006066945606694518,0.060491071428571574,0.21322778345250248,0.05592296162223905,0.1250521050437683,0.060491071428571574,0.9033333333333333,0.62,0.6666666666666666,0.745,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,47,-9999.0000525
70,603260,0.50126034,36,0.0223460431969251,603,2,0,0,0,0,53.0,36,-53.0,48,0.02174588381484921,-0.12410119840213052,-0.27634763476347635,0.04376970166767161,0.3438840106187462,0.02174588381484921,0.78,0.24666666666666667,0.9266666666666666,0.63,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,48,-9999.000053
72,002202,0.46952742,37,0.021945321568145,002,2,0,0,0,0,54.5,37,-54.5,49,0.06576629477392837,-0.1045880611741491,-0.16474919466175797,0.05580736730471189,0.3102189781021897,0.06576629477392837,0.9,0.6733333333333333,0.9033333333333333,0.8215,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,49,-9999.0000545
66,002837,0.51615953,43,0.0205958942150138,002,2,0,0,0,0,54.5,43,-54.5,50,0.10457987738910934,-0.08539862645565843,-0.20130378096479795,0.05217882923123625,0.3029160382101559,0.10457987738910934,0.8733333333333333,0.8533333333333334,0.8933333333333333,0.8713333333333333,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,50,-9999.0000545
26,300418,0.8173017,87,0.0085698868598462,300,2,0,0,0,0,56.5,26,-56.5,51,-0.11067101584342975,-0.20809128630705398,-0.040472599296128675,0.057406003775471136,0.2725109083696946,-0.11067101584342975,0.92,0.006666666666666667,0.8633333333333333,0.5861666666666667,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,51,-9999.0000565
59,600188,0.5445881,56,0.0155284425286523,600,2,0,0,0,0,57.5,56,-57.5,52,-0.025361475036456804,0.12758680767902408,0.10003989869663754,0.04569683224430092,0.10468618794098261,0.12758680767902408,0.8,0.92,0.6166666666666667,0.7961666666666668,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,52,-9999.0000575
30,600183,0.7969382,94,0.0078838999485415,600,2,0,0,0,0,62.0,30,-62.0,53,0.021485325117561294,-0.0629230197099293,-0.26390511801822847,0.06472882364050785,0.3153979238754324,0.021485325117561294,0.96,0.24,0.9066666666666666,0.6946666666666667,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,53,-9999.000062
99,300274,0.30416748,29,0.0246715262884596,300,2,0,0,0,0,64.0,29,-64.0,54,0.14188857227080676,0.07601851851851871,-0.25334104343356467,0.048067280576748445,0.36102377059489377,0.14188857227080676,0.8333333333333334,0.9366666666666666,0.94,0.8961666666666667,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,54,-9999.000064
111,601138,0.26833022,24,0.0265344425738042,601,2,0,0,0,0,67.5,24,-67.5,55,0.08938053097345144,-0.024254914394419735,-0.11578796149978454,0.04482436718871932,0.21690921690921683,0.08938053097345144,0.7833333333333333,0.8,0.8133333333333334,0.7966666666666666,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,55,-9999.0000675
86,002050,0.36982626,49,0.0182498132503308,002,2,0,0,0,0,67.5,49,-67.5,56,-0.002491694352159568,-0.1280731155927194,-0.12110108089791927,0.04710022121351126,0.27973929800704855,-0.002491694352159568,0.8266666666666667,0.10333333333333333,0.8766666666666667,0.5860000000000001,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,56,-9999.0000675
67,600362,0.5048551,72,0.0102747730687297,600,2,0,0,0,0,69.5,67,-69.5,57,0.11859140341791807,0.09561135168584389,-0.014959450046442835,0.045039443969850934,0.1065393301637042,0.11859140341791807,0.7866666666666666,0.91,0.6266666666666667,0.7898333333333334,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,57,-9999.0000695
42,601336,0.70157456,101,0.0067252956043697,601,2,0,0,0,0,71.5,42,-71.5,58,-0.023750771128932868,0.021297192642787843,0.04645395933212093,0.02961646194150425,0.05200367084735391,0.021297192642787843,0.54,0.23666666666666666,0.34,0.38383333333333336,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,58,-9999.0000715
50,600900,0.647866,93,0.0080880577759776,600,2,0,0,0,0,71.5,50,-71.5,59,-0.021739130434782594,0.02624558661698506,0.08665795721515335,0.012917813368126932,0.02543829494671712,0.02624558661698506,0.08,0.2866666666666667,0.13,0.16483333333333333,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,59,-9999.0000715
68,601698,0.5045127,75,0.0096579216630506,601,2,0,0,0,0,71.5,68,-71.5,60,0.03177189409368619,-0.19740177439797213,-0.1310463121783877,0.04599806464751042,0.253345498783455,0.03177189409368619,0.8066666666666666,0.3466666666666667,0.84,0.654,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,60,-9999.0000715
117,002600,0.23800033,27,0.0253601672734443,002,2,0,0,0,0,72.0,27,-72.0,61,0.07359307359307343,-0.09090909090909094,-0.21319796954314718,0.05401905940523968,0.3668146503884573,0.07359307359307343,0.8866666666666667,0.7233333333333334,0.95,0.8453333333333333,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,61,-9999.000072
32,601166,0.77603716,121,0.0047188597583841,601,2,0,0,0,0,76.5,32,-76.5,62,-0.0021810250817885235,0.047510017172295305,0.08412322274881512,0.01324567192820007,0.024536532170119973,0.047510017172295305,0.08666666666666667,0.49,0.12333333333333334,0.237,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,62,-9999.0000765
93,000301,0.339756,60,0.0128322816155789,000,2,0,0,0,0,76.5,60,-76.5,63,-0.01600673967986521,0.024561403508772006,0.03362831858407089,0.050377679256045506,0.17813178855901513,0.024561403508772006,0.85,0.26666666666666666,0.75,0.6208333333333333,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,63,-9999.0000765
101,688036,0.30120975,61,0.012157849058478,688,2,0,0,0,0,81.0,61,-81.0,64,0.03652743652743662,-0.01784882818562794,0.11017543859649126,0.043280041309640485,0.1246715328467154,0.03652743652743662,0.7733333333333333,0.38666666666666666,0.6633333333333333,0.6105,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,64,-9999.000081
33,603259,0.75962317,134,0.004264607495938,603,2,0,0,0,0,83.5,33,-83.5,65,0.003542102720978768,0.036759813705921296,-0.011967979709915144,0.033963628217818724,0.1034980988593156,0.036759813705921296,0.6433333333333333,0.3933333333333333,0.61,0.5475,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,65,-9999.0000835
90,002532,0.3540398,79,0.0090743978105696,002,2,0,0,0,0,84.5,79,-84.5,66,0.008000000000000007,0.13105924596050267,0.12903225806451601,0.04104411884068652,0.08096468561584835,0.13105924596050267,0.7533333333333333,0.93,0.5333333333333333,0.7601666666666667,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,66,-9999.0000845
92,002241,0.34168303,81,0.0088905432817487,002,2,0,0,0,0,86.5,81,-86.5,67,-0.014648858250754015,0.04812098991750702,0.06719552029864695,0.029012529358282885,0.0940967598757213,0.04812098991750702,0.5266666666666666,0.49666666666666665,0.5866666666666667,0.5311666666666666,ensemble_gate_overheat_top5,False,,primary_rank_replace,0.65,0.398,False,ensemble_low_overheat_top5,False,0.0,67,-9999.0000865
